reporter_country_code,reporter_country,fbs_item_code,fbs_item,Domestic supply quantity,Export Quantity,Import Quantity,Production,Stock Variation,new_domestic,d,E_re,E_dom
1,World,2511,Wheat and products,815848000,259083000,308500000,758985000,-7446000,815848000,-49417000,1,0
1,World,2513,Barley and products,146080000,48007000,43714000,160100000,9727000,146080000,4293000,0.9105755410669277,0.089424459
1,World,2514,Maize and products,1173318000,201759000,215255000,1155082000,-4739000,1173317000,-13496000,1,0
1,World,2515,Rye and products,14911000,2379000,2163000,15041000,-87000,14912000,216000,0.9092055485498108,0.090794451
1,World,2516,Oats,24572000,5785000,6119000,25320000,1081000,24573000,-334000,1,0
1,World,2517,Millet and products,30919000,492000,500000,32306000,1396000,30918000,-8000,1,0
1,World,2518,Sorghum and products,58107000,7913000,6718000,58672000,-629000,58106000,1195000,0.8489826867180589,0.15101731328194112
1,World,2520,"Cereals, Other",33696000,8862000,11465000,31335000,242000,33696000,-2603000,1,0
1,World,2531,Potatoes and products,373398000,32483000,39749000,370991000,4858000,373399000,-7266000,1,0
1,World,2532,Cassava and products,309555000,33681000,44888000,300689000,2340000,309556000,-11207000,1,0
1,World,2533,Sweet potatoes,86434000,878000,892000,88385000,1965000,86434000,-14000,1,0
1,World,2534,"Roots, Other",21152000,635000,633000,21058000,-96000,21152000,2000,0.9968503937007874,0.003149606
1,World,2535,Yams,74912000,178000,159000,74676000,-256000,74913000,19000,0.8932584269662921,0.1067415730337079
1,World,2536,Sugar cane,1869032000,163000,235000,1868959000,0,1869031000,-72000,1,0
1,World,2537,Sugar beet,247671000,924000,810000,250474000,2690000,247670000,114000,0.8766233766233766,0.12337662337662336
1,World,2541,Sugar non-centrifugal,8666000,0,1000,8629000,-36000,8666000,-1000,NA,NA
1,World,2542,Sugar (Raw Equivalent),169681000,76288000,71737000,173161000,-1071000,169681000,4551000,0.9403444840604027,0.059655516
1,World,2543,"Sweeteners, Other",111970000,34898000,34729000,112690000,551000,111970000,169000,0.9951573156054788,0.004842684
1,World,2546,Beans,26266000,4461000,3968000,27200000,441000,26266000,493000,0.8894866621833669,0.11051333781663308
1,World,2547,Peas,14856000,6652000,7068000,14742000,302000,14856000,-416000,1,0
1,World,2549,"Pulses, Other and products",47399000,9763000,9769000,49108000,1715000,47399000,-6000,1,0
1,World,2551,Nuts and products,26154000,12773000,20292000,19494000,859000,26154000,-7519000,1,0
1,World,2552,Groundnuts,54453000,6150000,6872000,54087000,356000,54453000,-722000,1,0
1,World,2555,Soyabeans,357880000,173659000,169567000,355483000,-6489000,357880000,4092000,0.9764365797338462,0.023563420266153767
1,World,2557,Sunflower seed,50433000,6948000,7026000,50489000,134000,50433000,-78000,1,0
1,World,2558,Rape and Mustardseed,76372000,25720000,26154000,72869000,-3068000,76371000,-434000,1,0
1,World,2559,Cottonseed,41197000,1093000,1014000,41257000,-19000,41197000,79000,0.9277218664226898,0.072278134
